db_id;question_pt;question_en;query;tipo;dificuldade;
expense_consolidated;Quais são os anos disponíveis nos dados?;Which years are available in the data?;SELECT DISTINCT year FROM expense_fact;seleção;fácil;
expense_consolidated;Quais são os meses registrados?;Which months are recorded?;SELECT DISTINCT month FROM expense_fact;seleção;fácil;
expense_consolidated;Quantos registros existem na tabela de despesas?;How many records are there in the expenses table?;SELECT COUNT(*) FROM expense_fact;agregação;fácil;
expense_consolidated;Quais são os poderes registrados?;Which government branches are registered?;SELECT DISTINCT power_name FROM expense_fact;seleção;fácil;
expense_consolidated;Quais são as funções de despesa distintas listadas?;What are the listed expense functions?;SELECT DISTINCT function_name FROM expense_fact;seleção;fácil;
expense_consolidated;Quais são os órgãos disponíveis?;Which departments are available?;SELECT DISTINCT agency_name FROM expense_fact;seleção;fácil;
expense_consolidated;Quais são os códigos de unidade gestora distintos?;What are the managing unit codes?;SELECT DISTINCT unit_code FROM expense_fact;seleção;fácil;
expense_consolidated;Liste todas as fontes de recurso distintas.;List all distinct resource sources.;SELECT DISTINCT source_name FROM expense_fact;seleção;fácil;
expense_consolidated;Quantos credores estão registrados?;How many creditors are registered?;SELECT COUNT(creditor_code) FROM expense_fact;agregação;fácil;
expense_consolidated;Qual o número de credores estão registrados?;How many creditors are registered?;SELECT COUNT(DISTINCT creditor_code) FROM expense_fact;agregação;fácil;
expense_consolidated;Quais são as programas presentes?;What are the present programs?;SELECT DISTINCT program_name  FROM expense_fact;seleção;fácil;
expense_consolidated;Qual é o valor total empenhado?;What is the total committed amount?;SELECT SUM(committed_value) FROM expense_fact;agregação;fácil;
expense_consolidated;Qual é o valor médio pago?;What is the average amount paid?;SELECT AVG(paid_budget_value) FROM expense_fact;agregação;fácil;
expense_consolidated;Qual é o maior valor liquidado?;What is the highest settled value?;SELECT MAX(settled_value) FROM expense_fact;agregação;fácil;
expense_consolidated;Qual é o menor valor de dotação inicial?;What is the lowest initial allocation value?;SELECT MIN(initial_budget_value) FROM expense_fact;agregação;fácil;
expense_consolidated;Quantos tipos de fonte existem?;How many types of sources are there?;SELECT COUNT(DISTINCT source_name) FROM expense_fact;agregação;fácil;
expense_consolidated;Qual a quantidade de tipos de fonte existem?;How many types of sources are there?;SELECT COUNT(DISTINCT source_name) FROM expense_fact;agregação;fácil;
expense_consolidated;Qual é a soma total da dotação atualizada?;What is the total of updated allocation?;SELECT SUM(updated_budget_value) FROM expense_fact;agregação;fácil;
expense_consolidated;Qual é a média do valor empenhado por mês?;What is the average committed value per month?;SELECT AVG(committed_value) FROM expense_fact GROUP BY month;agregação;médio;
expense_consolidated;Qual é o total de pagamentos por função?;What is the total payment by function?;SELECT function_name, SUM(paid_budget_value) FROM expense_fact GROUP BY function_name;agrupamento;médio;
expense_consolidated;Qual é o valor médio liquidado por poder?;What is the average settled value by government branch?;SELECT power_name, AVG(settled_value) FROM expense_fact GROUP BY power_code;agrupamento;médio;
expense_consolidated;Qual foi o valor pago em 2025?;What was the amount paid in 2025?;SELECT SUM(paid_budget_value) FROM expense_fact WHERE year = '2025';filtro;fácil;
expense_consolidated;Quais despesas foram realizadas no mês de 4/Abril?;What expenses were made in April?;SELECT * FROM expense_fact WHERE month = '04' OR month like '%Abril%';filtro;fácil;
expense_consolidated;Qual é o total empenhado pelo órgão 'Secretaria de Estado da Segurança Pública'?;What is the total committed by 'Secretaria de Estado da Segurança Pública'?;SELECT SUM(committed_value) FROM expense_fact WHERE agency_name like '%Secretaria de Estado da Segurança Pública%';filtro;médio;
expense_consolidated;Quais são as despesas da função 'Educação'?;What are the expenses for the 'Education' function?;SELECT * FROM expense_fact WHERE function_name like '%Educação%';filtro;fácil;
expense_consolidated;Qual o total liquidado para o credor código 415045?;What is the settled total for code 415045?;SELECT SUM(settled_value) FROM expense_fact WHERE creditor_code = '415045';filtro;fácil;
expense_consolidated;Qual é o total empenhado para o código de ação 1070?;What is the total committed for action code 1070?;SELECT SUM(committed_value) FROM expense_fact WHERE action_code = '1070';filtro;fácil;
expense_consolidated;Quais são as despesas emergenciais registradas?;Which emergency expenses are registered?;SELECT * FROM expense_fact WHERE emergency_indicator = 'Sim' OR emergency_indicator = 1;filtro;fácil;
expense_consolidated;Quais são os registros com fonte recurso 'Fonte Tesouro'?;What are the records with source 'Fonte Tesouro'?;SELECT * FROM expense_fact WHERE source_name like '%Fonte Tesouro%';filtro;fácil;
expense_consolidated;Qual é o valor total liquidado no 1º quadrimestre?;What is the total settled in the 1st four-month period?;SELECT SUM(settled_value) FROM expense_fact WHERE quadrimester_number = 1;filtro;fácil;
expense_consolidated;Qual é o total empenhado pela gestão 16097?;What is the total committed by management 16097?;SELECT SUM(committed_value) FROM expense_fact WHERE management_code = '16097';filtro;fácil;
expense_consolidated;Quais registros têm subfunção 'Educação Básica' em 2025?;Which records have subfunction 'Educação Básica' in 2025?;SELECT * FROM expense_fact WHERE subfunction_name  like '%Educação Básica%' AND year = '2025';filtro;médio;
expense_consolidated;Qual foi o valor total empenhado por cada órgão?;What was the total committed amount by each agency?;SELECT agency_name, SUM(committed_value) FROM expense_fact GROUP BY agency_name;agrupamento;médio;
expense_consolidated;Quais ações tiveram despesas liquidadas acima de 1 milhão?;Which actions had settled expenses above 1 million?;SELECT DISTINCT action_name  FROM expense_fact WHERE settled_value > 1000000;filtro;médio;
expense_consolidated;Qual órgão teve mais pagamentos no primeiro trimestre?;Which agency had the most payments in the first quarter?;SELECT agency_name, SUM(paid_budget_value) FROM expense_fact WHERE trimester_number  = '1' GROUP BY agency_name  ORDER BY paid_budget_value DESC LIMIT 1;agrupamento;difícil;
expense_consolidated;Liste os elementos de despesa com valores atualizados acima da média geral.;List expense elements with updated values above overall average.;SELECT element_name , updated_budget_value FROM expense_fact WHERE updated_budget_value > (SELECT AVG(updated_budget_value) FROM expense_fact);filtro;difícil;
expense_consolidated;Quais são os órgãos que realizaram despesas com material de consumo?;Which agencies made expenses with material consumption?;SELECT DISTINCT agency_name  FROM expense_fact WHERE element_name LIKE '%Material de Consumo%';filtro;médio;
expense_consolidated;Qual a ação com maior valor de dotação inicial em 2025?;What is the action with the highest initial appropriation in 2025?;SELECT action_name , MAX(initial_budget_value) FROM expense_fact WHERE year = '2025';filtro;médio;
expense_consolidated;Quais elementos de despesa foram usados por mais de um órgão?;Which expense elements were used by more than one agency?;SELECT element_name FROM expense_fact GROUP BY element_name HAVING COUNT(DISTINCT agency_name ) > 1;agrupamento;difícil;
expense_consolidated;Liste os valores pagos por cada combinação de órgão e ação.;List payments for each agency-action combination.;SELECT agency_name, action_name, SUM(paid_budget_value) FROM expense_fact GROUP BY agency_name, action_name;agrupamento;médio;
expense_consolidated;Qual foi o valor liquidado por mês para a ação "Gestão das atividades aéreas"?;What was the settled value per month for the action "Gestão das atividades aéreas"?;SELECT "month", SUM(settled_value) FROM expense_fact WHERE action_name like '%Gestão das atividades aéreas%' GROUP BY month;agrupamento;médio;
expense_consolidated;Quais órgãos tiveram despesas em mais de 3 meses diferentes?;Which agencies had expenses in more than 3 different months?;SELECT agency_name FROM expense_fact GROUP BY agency_name HAVING COUNT(DISTINCT month) > 3;agrupamento;difícil;
expense_consolidated;Qual o valor orçado por mes ?;What is the budgeted amount per month?;SELECT month, SUM(initial_budget_value ) FROM expense_fact GROUP BY month;agrupamento;médio;
expense_consolidated;Quantas despesas foram empenhadas em abril de 2025?;How many expenses were committed in April 2025?;SELECT COUNT(*) FROM expense_fact WHERE month like '%Abril%' AND year = '2025' AND committed_value > 0;filtro;médio;
expense_consolidated;Qual a quantidade de despesas foram empenhadas em abril de 2025?;How many expenses were committed in April 2025?;SELECT COUNT(*) FROM expense_fact WHERE month like '%Abril%' AND year = '2025' AND committed_value > 0;filtro;médio;
expense_consolidated;Liste despesas com valor pago superior a 1000;List expenses with paid value greater than 1000;SELECT * FROM expense_fact WHERE paid_budget_value > 1000;filtro;fácil;
expense_consolidated;Quais são os registros com valor liquidado entre 100 e 1000?;What are the records with settled value between 100 and 1000?;SELECT * FROM expense_fact WHERE settled_value BETWEEN 100 AND 1000;filtro;fácil;
expense_consolidated;Quais despesas têm dotação inicial igual a zero?;Which expenses have zero initial allocation?;SELECT * FROM expense_fact WHERE initial_budget_value = 0;filtro;fácil;
expense_consolidated;Quais são os registros de 2025 para a unidade gestora 160085?;What are the 2025 records for managing unit 160085?;SELECT * FROM expense_fact WHERE year = '2025' AND unit_code = '160085';filtro;médio;
expense_consolidated;Qual é a média do valor pago em Abril de 2025?;What is the average amount paid in April 2025?;SELECT AVG(paid_budget_value) FROM expense_fact WHERE month like '%Abril%' AND year = '2025';filtro;médio;
expense_consolidated;Quais ações têm valor liquidado acima de 50000000?;Which actions have settled value above 50000000?;SELECT DISTINCT action_name FROM expense_fact WHERE settled_value > 50000000;filtro;médio;
expense_consolidated;Selecione todos os registros do 2º trimestre de 2025.;Select all records from the 2nd quarter of 2025.;SELECT * FROM expense_fact WHERE trimester_number = '2' AND year = '2025';filtro;médio;
